run_id,qid,domain,model,setting,prompt,output,latency_ms,ts,version,finish_reason,usage,error,domain_gold,bertscore_f1,bertscore_f1_percent,output_clean
1,HIST001,history,gpt4o,gold,"Use the snippets to answer the question.
Rules: Output only the final answer as a short span. No explanations.

Snippet A:
In October 1962 the United States and the Soviet Union faced off over missiles in Cuba, a confrontation known as the Cuban Missile Crisis.
Snippet B:
At that time, the sitting U.S. president (January 1961–November 1963) was John F. Kennedy.

Question:
Who was the U.S. president during the Cuban Missile Crisis?

Answer:",John F. Kennedy,2181,2025-09-16T11:56:58.141898,gpt-4o,stop,"{'prompt_tokens': 108, 'completion_tokens': 4, 'total_tokens': 112}",,history,1.0,100.0,John F. Kennedy
1,HIST001,history,gpt4o,para,"Use the snippets to answer the question.
Rules: Output only the final answer as a short span. No explanations.

Snippet A:
In October 1962 the United States and the Soviet Union faced off over missiles in Cuba, a confrontation known as the Cuban Missile Crisis.
Snippet B:
At that time, the sitting U.S. president (January 1961–November 1963) was John F. Kennedy.

Question:
Which U.S. president was in office during the 1962 Cuban Missile Crisis?

Answer:",John F. Kennedy,1616,2025-09-16T11:56:59.758856,gpt-4o,stop,"{'prompt_tokens': 112, 'completion_tokens': 4, 'total_tokens': 116}",,history,1.0,100.0,John F. Kennedy
1,HIST001,history,gpt4o,dist,"Use the snippets to answer the question.
Rules: Output only the final answer as a short span. No explanations.

Snippet A:
In October 1962 the United States and the Soviet Union faced off over missiles in Cuba, a confrontation known as the Cuban Missile Crisis.
Snippet B:
At that time, the sitting U.S. president (January 1961–November 1963) was John F. Kennedy.
Distractor Snippet:
Dwight D. Eisenhower left office in 1961 after overseeing the 1960 U‑2 incident.

Question:
Who was the U.S. president during the Cuban Missile Crisis?

Answer:",John F. Kennedy,1435,2025-09-16T11:57:01.194220,gpt-4o,stop,"{'prompt_tokens': 136, 'completion_tokens': 4, 'total_tokens': 140}",,history,1.0,100.0,John F. Kennedy
1,HIST001,history,gpt4o,para_dist,"Use the snippets to answer the question.
Rules: Output only the final answer as a short span. No explanations.

Snippet A:
In October 1962 the United States and the Soviet Union faced off over missiles in Cuba, a confrontation known as the Cuban Missile Crisis.
Snippet B:
At that time, the sitting U.S. president (January 1961–November 1963) was John F. Kennedy.
Distractor Snippet:
Dwight D. Eisenhower left office in 1961 after overseeing the 1960 U‑2 incident.

Question:
Which U.S. president was in office during the 1962 Cuban Missile Crisis?

Answer:",John F. Kennedy,1136,2025-09-16T11:57:02.330441,gpt-4o,stop,"{'prompt_tokens': 140, 'completion_tokens': 4, 'total_tokens': 144}",,history,1.0,100.0,John F. Kennedy
1,HIST002,history,gpt4o,gold,"Use the snippets to answer the question.
Rules: Output only the final answer as a short span. No explanations.

Snippet A:
The Colosseum is a large amphitheatre in Rome constructed in the first century CE.
Snippet B:
It was built under the Flavian emperors of the Roman Empire, beginning with Vespasian.

Question:
Which empire built the Colosseum in Rome?

Answer:",Roman Empire,1218,2025-09-16T11:57:03.548574,gpt-4o,stop,"{'prompt_tokens': 89, 'completion_tokens': 2, 'total_tokens': 91}",,history,1.0000014305114746,100.00014305114746,Roman Empire
1,HIST002,history,gpt4o,para,"Use the snippets to answer the question.
Rules: Output only the final answer as a short span. No explanations.

Snippet A:
The Colosseum is a large amphitheatre in Rome constructed in the first century CE.
Snippet B:
It was built under the Flavian emperors of the Roman Empire, beginning with Vespasian.

Question:
Under which dynasty was Rome’s Colosseum constructed?

Answer:",Flavian dynasty,1581,2025-09-16T11:57:05.130415,gpt-4o,stop,"{'prompt_tokens': 90, 'completion_tokens': 3, 'total_tokens': 93}",,history,0.18381620943546295,18.381620943546295,Flavian dynasty
1,HIST002,history,gpt4o,dist,"Use the snippets to answer the question.
Rules: Output only the final answer as a short span. No explanations.

Snippet A:
The Colosseum is a large amphitheatre in Rome constructed in the first century CE.
Snippet B:
It was built under the Flavian emperors of the Roman Empire, beginning with Vespasian.
Distractor Snippet:
The Theatre of Dionysus in Athens is a major Greek theatre, not the Colosseum.

Question:
Which empire built the Colosseum in Rome?

Answer:",Roman Empire,649,2025-09-16T11:57:05.779587,gpt-4o,stop,"{'prompt_tokens': 114, 'completion_tokens': 2, 'total_tokens': 116}",,history,1.0000014305114746,100.00014305114746,Roman Empire
1,HIST002,history,gpt4o,para_dist,"Use the snippets to answer the question.
Rules: Output only the final answer as a short span. No explanations.

Snippet A:
The Colosseum is a large amphitheatre in Rome constructed in the first century CE.
Snippet B:
It was built under the Flavian emperors of the Roman Empire, beginning with Vespasian.
Distractor Snippet:
The Theatre of Dionysus in Athens is a major Greek theatre, not the Colosseum.

Question:
Under which dynasty was Rome’s Colosseum constructed?

Answer:",Flavian dynasty,1352,2025-09-16T11:57:07.131805,gpt-4o,stop,"{'prompt_tokens': 115, 'completion_tokens': 3, 'total_tokens': 118}",,history,0.18381620943546295,18.381620943546295,Flavian dynasty
1,HIST003,history,gpt4o,gold,"Use the snippets to answer the question.
Rules: Output only the final answer as a short span. No explanations.

Snippet A:
The American Declaration of Independence was issued in 1776 against the British crown.
Snippet B:
The British monarch in 1776 was King George III (reigned 1760–1820).

Question:
Who was the British monarch when the United States declared independence?

Answer:",King George III,474,2025-09-16T11:57:07.606161,gpt-4o,stop,"{'prompt_tokens': 89, 'completion_tokens': 3, 'total_tokens': 92}",,history,1.0,100.0,King George III
1,HIST003,history,gpt4o,para,"Use the snippets to answer the question.
Rules: Output only the final answer as a short span. No explanations.

Snippet A:
The American Declaration of Independence was issued in 1776 against the British crown.
Snippet B:
The British monarch in 1776 was King George III (reigned 1760–1820).

Question:
Who was the British monarch when the colonies declared independence in 1776?

Answer:",King George III,588,2025-09-16T11:57:08.194701,gpt-4o,stop,"{'prompt_tokens': 92, 'completion_tokens': 3, 'total_tokens': 95}",,history,1.0,100.0,King George III
