run_id,qid,domain,model,setting,output,latency_ms,em,f1,refusal,format_violation
1,HIST001,history,gpt4o,gold,John F. Kennedy,1058,1,1.0,0,0
1,HIST001,history,gpt4o,para,John F. Kennedy,795,1,1.0,0,0
1,HIST001,history,gpt4o,dist,John F. Kennedy,1228,1,1.0,0,0
1,HIST001,history,gpt4o,para_dist,John F. Kennedy,718,1,1.0,0,0
1,HIST002,history,gpt4o,gold,Roman Empire,852,1,1.0,0,0
1,HIST002,history,gpt4o,para,Flavian dynasty,738,0,0.0,0,0
1,HIST002,history,gpt4o,dist,Roman Empire,828,1,1.0,0,0
1,HIST002,history,gpt4o,para_dist,Flavian,656,0,0.0,0,0
1,HIST003,history,gpt4o,gold,King George III,1397,1,1.0,0,0
1,HIST003,history,gpt4o,para,King George III,1257,1,1.0,0,0
1,HIST003,history,gpt4o,dist,King George III,892,1,1.0,0,0
1,HIST003,history,gpt4o,para_dist,King George III,686,1,1.0,0,0
1,HIST004,history,gpt4o,gold,Georges Clemenceau,1494,1,1.0,0,0
1,HIST004,history,gpt4o,para,Georges Clemenceau,918,1,1.0,0,0
1,HIST004,history,gpt4o,dist,Georges Clemenceau,627,1,1.0,0,0
1,HIST004,history,gpt4o,para_dist,Georges Clemenceau,806,1,1.0,0,0
1,HIST005,history,gpt4o,gold,Qin Shi Huang,716,1,1.0,0,0
1,HIST005,history,gpt4o,para,Qin Shi Huang,837,1,1.0,0,0
1,HIST005,history,gpt4o,dist,Qin Shi Huang,674,1,1.0,0,0
1,HIST005,history,gpt4o,para_dist,Qin Shi Huang,639,1,1.0,0,0
1,HIST006,history,gpt4o,gold,World War I,820,1,1.0,0,0
1,HIST006,history,gpt4o,para,Archduke Franz Ferdinand was assassinated.,1731,0,0.0,0,0
1,HIST006,history,gpt4o,dist,World War I,732,1,1.0,0,0
1,HIST006,history,gpt4o,para_dist,Archduke Franz Ferdinand was assassinated.,810,0,0.0,0,0
1,HIST007,history,gpt4o,gold,Joseph Stalin.,819,1,1.0,0,0
1,HIST007,history,gpt4o,para,Joseph Stalin.,829,1,1.0,0,0
1,HIST007,history,gpt4o,dist,Joseph Stalin,1018,1,1.0,0,0
