qid,domain,question,answer,aliases
HIST001,history,Who was the U.S. president during the Cuban Missile Crisis?,John F. Kennedy,"Kennedy|JFK"
HIST002,history,Which empire built the Colosseum in Rome?,Roman Empire,"Rome|Romans"
HIST003,history,Who was the British monarch when the United States declared independence?,George III,"King George III|George 3"
HIST004,history,Who signed the Treaty of Versailles on behalf of France?,Georges Clemenceau,"Clemenceau"
HIST005,history,Who was the first emperor of a unified China?,Qin Shi Huang,"Shi Huangdi"
HIST006,history,Which war began after the assassination of Archduke Franz Ferdinand?,World War I,"First World War|WWI"
HIST007,history,Who led the Soviet Union during World War II?,Joseph Stalin,"Stalin"
HIST008,history,Which U.S. president abolished slavery?,Abraham Lincoln,"Lincoln"
HIST009,history,Who was the first female Prime Minister of the United Kingdom?,Margaret Thatcher,"Thatcher|Iron Lady"
HIST010,history,Which ancient civilization built Machu Picchu?,Inca,"Incas"

SCI001,science,What is the chemical symbol for water?,H2O,"H₂O"
SCI002,science,Which element has the atomic number 6?,Carbon,"C"
SCI003,science,What gas do humans exhale during respiration?,Carbon dioxide,"CO2"
SCI004,science,Who proposed the theory of general relativity?,Albert Einstein,"Einstein"
SCI005,science,What is the powerhouse of the cell?,Mitochondria,"Mitochondrion"
SCI006,science,What planet is known as the Red Planet?,Mars,"Planet Mars"
SCI007,science,What particle carries a negative charge?,Electron,"Electrons"
SCI008,science,Which vitamin is produced when skin is exposed to sunlight?,Vitamin D,"Vit D"
SCI009,science,What is the process by which plants make food?,Photosynthesis,"Photo-synthesis"
SCI010,science,What is the largest organ in the human body?,Skin,"Epidermis"

POL001,politics,Which political system is based on rule by the people?,Democracy,"Democratic system"
POL002,politics,Who was the first female Prime Minister of the UK?,Margaret Thatcher,"Thatcher|Iron Lady"
POL003,politics,Which U.S. document begins with 'We the People'?,U.S. Constitution,"Constitution"
POL004,politics,What body serves as the upper chamber of the U.S. Congress?,Senate,"US Senate"
POL005,politics,Who was the first president of the United States?,George Washington,"Washington"
POL006,politics,Which organization was founded in 1945 to promote peace?,United Nations,"UN"
POL007,politics,What is the highest court in the United States?,Supreme Court,"SCOTUS"
POL008,politics,Which treaty established the European Union?,Maastricht Treaty,"Treaty on European Union"
POL009,politics,What is the term for rule by a king or queen?,Monarchy,"Monarchies"
POL010,politics,Who became South Africa’s first Black president in 1994?,Nelson Mandela,"Mandela"

LIT001,literature,Who wrote 'Romeo and Juliet'?,William Shakespeare,"Shakespeare"
LIT002,literature,Who wrote 'Pride and Prejudice'?,Jane Austen,"Austen"
LIT003,literature,What is the name of the hobbit who carries the One Ring?,Frodo Baggins,"Frodo"
LIT004,literature,Who wrote 'The Odyssey'?,Homer,"Poet Homer"
LIT005,literature,Which novel begins with the line 'Call me Ishmael'?,Moby-Dick,"Moby Dick"
LIT006,literature,Who created the detective Sherlock Holmes?,Arthur Conan Doyle,"Conan Doyle"
LIT007,literature,Which book series features Harry Potter?,Harry Potter,"HP"
LIT008,literature,Who wrote '1984'?,George Orwell,"Orwell"
LIT009,literature,Who is the tragic king in Shakespeare’s play 'Macbeth'?,Macbeth,"King Macbeth"
LIT010,literature,Which poet wrote 'The Raven'?,Edgar Allan Poe,"Poe"

GEO001,geography,What is the largest desert in the world?,Sahara,"Sahara Desert"
GEO002,geography,Which river is the longest in the world?,Nile,"River Nile"
GEO003,geography,What is the capital of Japan?,Tokyo,"Tokyo City"
GEO004,geography,Which continent is known as the 'Dark Continent'?,Africa,"African continent"
GEO005,geography,Mount Everest lies on the border of Nepal and which country?,China,"Tibet"
GEO006,geography,Which ocean is the deepest?,Pacific Ocean,"Pacific"
GEO007,geography,What is the smallest country in the world?,Vatican City,"Holy See"
GEO008,geography,Which U.S. state is the largest by area?,Alaska,"AK"
GEO009,geography,Which sea separates Europe and Africa?,Mediterranean Sea,"Mediterranean"
GEO010,geography,What is the capital city of Australia?,Canberra,""
