qid,snippet_a,snippet_b,distractor
HIST001,"In October 1962 the United States and the Soviet Union faced off over missiles in Cuba, a confrontation known as the Cuban Missile Crisis.","At that time, the sitting U.S. president (January 1961–November 1963) was John F. Kennedy.","Dwight D. Eisenhower left office in 1961 after overseeing the 1960 U‑2 incident."
HIST002,"The Colosseum is a large amphitheatre in Rome constructed in the first century CE.","It was built under the Flavian emperors of the Roman Empire, beginning with Vespasian.","The Theatre of Dionysus in Athens is a major Greek theatre, not the Colosseum."
HIST003,"The American Declaration of Independence was issued in 1776 against the British crown.","The British monarch in 1776 was King George III (reigned 1760–1820).","Lord North served as British Prime Minister during the American Revolution."
HIST004,"The Treaty of Versailles was signed in 1919 at the Paris Peace Conference by the Allied powers.","France was represented and its delegation led by Prime Minister Georges Clemenceau, who signed the treaty.","Aristide Briand was a prominent French statesman but was not the principal signatory at Versailles in 1919."
HIST005,"In 221 BCE, the state of Qin unified China after conquering rival states.","Its king Ying Zheng took the title Qin Shi Huang, becoming the first emperor of a unified China.","Emperor Wu of Han expanded the Han Empire later, not the first unifier."
HIST006,"Archduke Franz Ferdinand was assassinated in Sarajevo in June 1914.","This event triggered alliances and mobilizations that led to the outbreak of World War I.","The Crimean War occurred in the 1850s and was unrelated to the 1914 assassination."
HIST007,"After consolidating power in the 1930s, Joseph Stalin led the Soviet Union during the Great Patriotic War (1941–1945).","Thus, the USSR’s leader during World War II was Joseph Stalin.","Nikita Khrushchev led the USSR later, primarily in the late 1950s and early 1960s."
HIST008,"In 1863, the Emancipation Proclamation declared enslaved people in rebellious states to be free.","President Abraham Lincoln pressed for the Thirteenth Amendment (1865), which abolished slavery nationwide.","Andrew Johnson succeeded Lincoln after his assassination but did not author the Proclamation."
HIST009,"In 1979, the Conservative Party won the UK general election.","Its leader, Margaret Thatcher, became the first woman to serve as Prime Minister of the United Kingdom.","Theresa May became Prime Minister in 2016, not the first female PM."
HIST010,"Machu Picchu is a 15th‑century citadel in the Andes of Peru.","It was constructed by the Inca civilization, traditionally linked to the reign of Pachacuti.","Tikal is a major Maya site in Guatemala, not Inca."
SCI001,"A water molecule consists of two hydrogen atoms bonded to one oxygen atom.","The chemical formula that represents water is H2O.","Hydrogen peroxide has the formula H2O2, not water."
SCI002,"An element’s atomic number equals the number of protons in its nucleus.","The element with atomic number 6 is carbon.","Nitrogen has atomic number 7, one higher than carbon."
SCI003,"Cellular respiration in humans produces carbon dioxide as a waste product.","Humans exhale carbon dioxide (CO2) during breathing.","Oxygen (O2) is primarily inhaled and used by tissues rather than exhaled."
SCI004,"A 1915 theory described gravity as the curvature of spacetime caused by mass and energy.","This theory of general relativity was developed by Albert Einstein.","Isaac Newton’s theory of gravitation preceded relativity and uses forces, not curved spacetime."
SCI005,"Cells generate most ATP within an organelle responsible for aerobic respiration.","This organelle—the mitochondrion—is commonly called the powerhouse of the cell.","The nucleus stores genetic material but does not produce most ATP."
SCI006,"The fourth planet from the Sun appears reddish because of iron oxide on its surface.","This world is nicknamed the Red Planet—Mars.","Jupiter is known for the Great Red Spot but is not called the Red Planet."
SCI007,"Atoms contain negatively charged electrons, positively charged protons, and neutral neutrons.","The subatomic particle with negative charge is the electron.","Protons carry positive charge, the opposite of electrons."
SCI008,"Ultraviolet B radiation on skin initiates synthesis of cholecalciferol.","This process produces Vitamin D in the human body.","Vitamin C must be obtained from diet and is not synthesized by skin."
SCI009,"Using light energy, plants convert carbon dioxide and water into sugars and oxygen.","This food‑producing process is called photosynthesis.","Cellular respiration breaks down sugars; it does not produce them from light."
SCI010,"The human integumentary system includes the skin covering the body.","By area, the skin is the largest organ of the human body.","The liver is often cited as the largest internal solid organ, not overall largest."
POL001,"In this political system, citizens hold power directly or through elected representatives.","Government by the people is termed democracy.","An autocracy concentrates power in one ruler rather than the people."
POL002,"A 1979 general election in the UK brought the Conservative Party to power.","Its leader Margaret Thatcher thus became the first female Prime Minister of the United Kingdom.","Indira Gandhi was India’s Prime Minister, not the UK’s."
POL003,"The preamble that begins with the words 'We the People' introduces a foundational U.S. document.","Those words open the Constitution of the United States.","The Declaration of Independence begins with a different preamble in 1776."
POL004,"The U.S. Congress is bicameral, consisting of two chambers.","The upper chamber is the United States Senate.","The House of Representatives is the lower chamber."
POL005,"The first inauguration under the U.S. Constitution occurred in 1789 in New York City.","The first President of the United States was George Washington.","John Adams was the first vice president and later became the second president."
POL006,"An international organization formed after World War II sought to maintain peace and cooperation.","This organization, founded in 1945, is the United Nations.","The League of Nations was founded after World War I and dissolved earlier."
POL007,"The U.S. federal judiciary is headed by its highest tribunal.","The highest court in the United States is the Supreme Court.","Federal courts of appeals are intermediate courts below the Supreme Court."
POL008,"A 1992 treaty signed in Maastricht created a new political and economic union.","This Treaty on European Union established the European Union (EU).","The Lisbon Treaty reformed the EU later but did not originally establish it."
POL009,"A system where a state is headed by a king or queen, typically hereditary, is one form of government.","That form is called a monarchy.","An aristocracy denotes rule by a privileged class, not necessarily a single monarch."
POL010,"After the end of apartheid, South Africa held its first fully inclusive elections in 1994.","Nelson Mandela was elected as the country’s first Black president that year.","Thabo Mbeki succeeded Mandela later, becoming president in 1999."
LIT001,"A tragic love story set in Verona is among the most famous works of an English playwright.","'Romeo and Juliet' was written by William Shakespeare.","Christopher Marlowe was a contemporary dramatist but not the author of this play."
LIT002,"A 19th‑century novel features Elizabeth Bennet and Mr. Darcy in a tale of manners and marriage.","'Pride and Prejudice' was written by Jane Austen.","Charlotte Brontë authored 'Jane Eyre,' not this novel."
LIT003,"In Tolkien’s epic, a hobbit carries the One Ring toward Mount Doom to destroy it.","The ring‑bearer in 'The Lord of the Rings' is Frodo Baggins.","Bilbo Baggins carried the ring earlier in 'The Hobbit,' not in the main quest to Mordor."
LIT004,"An ancient Greek epic poem recounts Odysseus’s long voyage home after the Trojan War.","This epic, 'The Odyssey,' is attributed to Homer.","Virgil wrote the 'Aeneid,' a Roman epic, not 'The Odyssey.'"
LIT005,"A novel opens with the famous line 'Call me Ishmael.'","That opening belongs to Herman Melville’s 'Moby‑Dick.'","'The Old Man and the Sea' is a novella by Ernest Hemingway with a different opening."
