run_id,qid,domain,model,setting,prompt,output,latency_ms,ts,version,finish_reason,usage,error,domain_gold,bertscore_f1,bertscore_f1_percent
1,HIST001,history,gemini_pro,gold,"Use the snippets to answer the question.
Rules: Output only the final answer as a short span. No explanations.

Snippet A:
In October 1962 the United States and the Soviet Union faced off over missiles in Cuba, a confrontation known as the Cuban Missile Crisis.
Snippet B:
At that time, the sitting U.S. president (January 1961–November 1963) was John F. Kennedy.

Question:
Who was the U.S. president during the Cuban Missile Crisis?

Answer:",John F. Kennedy,28461,2025-09-16T12:12:21.243483,gemini-1.5-pro,,"{'prompt_tokens': None, 'completion_tokens': None, 'total_tokens': None}",,history,1.0000007152557373,100.00007152557373
1,HIST001,history,gemini_pro,para,"Use the snippets to answer the question.
Rules: Output only the final answer as a short span. No explanations.

Snippet A:
In October 1962 the United States and the Soviet Union faced off over missiles in Cuba, a confrontation known as the Cuban Missile Crisis.
Snippet B:
At that time, the sitting U.S. president (January 1961–November 1963) was John F. Kennedy.

Question:
Which U.S. president was in office during the 1962 Cuban Missile Crisis?

Answer:",John F. Kennedy,817,2025-09-16T12:12:22.061512,gemini-1.5-pro,,"{'prompt_tokens': None, 'completion_tokens': None, 'total_tokens': None}",,history,1.0000007152557373,100.00007152557373
1,HIST001,history,gemini_pro,dist,"Use the snippets to answer the question.
Rules: Output only the final answer as a short span. No explanations.

Snippet A:
In October 1962 the United States and the Soviet Union faced off over missiles in Cuba, a confrontation known as the Cuban Missile Crisis.
Snippet B:
At that time, the sitting U.S. president (January 1961–November 1963) was John F. Kennedy.
Distractor Snippet:
Dwight D. Eisenhower left office in 1961 after overseeing the 1960 U‑2 incident.

Question:
Who was the U.S. president during the Cuban Missile Crisis?

Answer:",John F. Kennedy,585,2025-09-16T12:12:22.646689,gemini-1.5-pro,,"{'prompt_tokens': None, 'completion_tokens': None, 'total_tokens': None}",,history,1.0000007152557373,100.00007152557373
1,HIST001,history,gemini_pro,para_dist,"Use the snippets to answer the question.
Rules: Output only the final answer as a short span. No explanations.

Snippet A:
In October 1962 the United States and the Soviet Union faced off over missiles in Cuba, a confrontation known as the Cuban Missile Crisis.
Snippet B:
At that time, the sitting U.S. president (January 1961–November 1963) was John F. Kennedy.
Distractor Snippet:
Dwight D. Eisenhower left office in 1961 after overseeing the 1960 U‑2 incident.

Question:
Which U.S. president was in office during the 1962 Cuban Missile Crisis?

Answer:",John F. Kennedy,848,2025-09-16T12:12:23.494862,gemini-1.5-pro,,"{'prompt_tokens': None, 'completion_tokens': None, 'total_tokens': None}",,history,1.0000007152557373,100.00007152557373
1,HIST002,history,gemini_pro,gold,"Use the snippets to answer the question.
Rules: Output only the final answer as a short span. No explanations.

Snippet A:
The Colosseum is a large amphitheatre in Rome constructed in the first century CE.
Snippet B:
It was built under the Flavian emperors of the Roman Empire, beginning with Vespasian.

Question:
Which empire built the Colosseum in Rome?

Answer:",Roman Empire,416,2025-09-16T12:12:23.911465,gemini-1.5-pro,,"{'prompt_tokens': None, 'completion_tokens': None, 'total_tokens': None}",,history,1.000002145767212,100.00021457672119
1,HIST002,history,gemini_pro,para,"Use the snippets to answer the question.
Rules: Output only the final answer as a short span. No explanations.

Snippet A:
The Colosseum is a large amphitheatre in Rome constructed in the first century CE.
Snippet B:
It was built under the Flavian emperors of the Roman Empire, beginning with Vespasian.

Question:
Under which dynasty was Rome’s Colosseum constructed?

Answer:",Flavian,536,2025-09-16T12:12:24.447902,gemini-1.5-pro,,"{'prompt_tokens': None, 'completion_tokens': None, 'total_tokens': None}",,history,0.20514507591724396,20.514507591724396
1,HIST002,history,gemini_pro,dist,"Use the snippets to answer the question.
Rules: Output only the final answer as a short span. No explanations.

Snippet A:
The Colosseum is a large amphitheatre in Rome constructed in the first century CE.
Snippet B:
It was built under the Flavian emperors of the Roman Empire, beginning with Vespasian.
Distractor Snippet:
The Theatre of Dionysus in Athens is a major Greek theatre, not the Colosseum.

Question:
Which empire built the Colosseum in Rome?

Answer:",Roman Empire,686,2025-09-16T12:12:25.134220,gemini-1.5-pro,,"{'prompt_tokens': None, 'completion_tokens': None, 'total_tokens': None}",,history,1.000002145767212,100.00021457672119
1,HIST002,history,gemini_pro,para_dist,"Use the snippets to answer the question.
Rules: Output only the final answer as a short span. No explanations.

Snippet A:
The Colosseum is a large amphitheatre in Rome constructed in the first century CE.
Snippet B:
It was built under the Flavian emperors of the Roman Empire, beginning with Vespasian.
Distractor Snippet:
The Theatre of Dionysus in Athens is a major Greek theatre, not the Colosseum.

Question:
Under which dynasty was Rome’s Colosseum constructed?

Answer:",Flavian,707,2025-09-16T12:12:25.842190,gemini-1.5-pro,,"{'prompt_tokens': None, 'completion_tokens': None, 'total_tokens': None}",,history,0.20514507591724396,20.514507591724396
1,HIST003,history,gemini_pro,gold,"Use the snippets to answer the question.
Rules: Output only the final answer as a short span. No explanations.

Snippet A:
The American Declaration of Independence was issued in 1776 against the British crown.
Snippet B:
The British monarch in 1776 was King George III (reigned 1760–1820).

Question:
Who was the British monarch when the United States declared independence?

Answer:",King George III,1131,2025-09-16T12:12:26.974323,gemini-1.5-pro,,"{'prompt_tokens': None, 'completion_tokens': None, 'total_tokens': None}",,history,1.0000014305114746,100.00014305114746
1,HIST003,history,gemini_pro,para,"Use the snippets to answer the question.
Rules: Output only the final answer as a short span. No explanations.

Snippet A:
The American Declaration of Independence was issued in 1776 against the British crown.
Snippet B:
The British monarch in 1776 was King George III (reigned 1760–1820).

Question:
Who was the British monarch when the colonies declared independence in 1776?

Answer:",King George III,615,2025-09-16T12:12:27.590152,gemini-1.5-pro,,"{'prompt_tokens': None, 'completion_tokens': None, 'total_tokens': None}",,history,1.0000014305114746,100.00014305114746
1,HIST003,history,gemini_pro,dist,"Use the snippets to answer the question.
Rules: Output only the final answer as a short span. No explanations.

Snippet A:
The American Declaration of Independence was issued in 1776 against the British crown.
Snippet B:
The British monarch in 1776 was King George III (reigned 1760–1820).
Distractor Snippet:
Lord North served as British Prime Minister during the American Revolution.

Question:
Who was the British monarch when the United States declared independence?

Answer:",King George III,515,2025-09-16T12:12:28.105505,gemini-1.5-pro,,"{'prompt_tokens': None, 'completion_tokens': None, 'total_tokens': None}",,history,1.0000014305114746,100.00014305114746
1,HIST003,history,gemini_pro,para_dist,"Use the snippets to answer the question.
Rules: Output only the final answer as a short span. No explanations.

Snippet A:
The American Declaration of Independence was issued in 1776 against the British crown.
Snippet B:
The British monarch in 1776 was King George III (reigned 1760–1820).
Distractor Snippet:
Lord North served as British Prime Minister during the American Revolution.

Question:
Who was the British monarch when the colonies declared independence in 1776?

Answer:",King George III,763,2025-09-16T12:12:28.869051,gemini-1.5-pro,,"{'prompt_tokens': None, 'completion_tokens': None, 'total_tokens': None}",,history,1.0000014305114746,100.00014305114746
1,HIST004,history,gemini_pro,gold,"Use the snippets to answer the question.
Rules: Output only the final answer as a short span. No explanations.

Snippet A:
The Treaty of Versailles was signed in 1919 at the Paris Peace Conference by the Allied powers.
Snippet B:
France was represented and its delegation led by Prime Minister Georges Clemenceau, who signed the treaty.

Question:
Who signed the Treaty of Versailles on behalf of France?

Answer:",Georges Clemenceau,566,2025-09-16T12:12:29.435625,gemini-1.5-pro,,"{'prompt_tokens': None, 'completion_tokens': None, 'total_tokens': None}",,history,0.9999992847442627,99.99992847442627
